Invoice,StockCode,Description,Quantity,transaction_date,Price,Customer ID,Country,Total_Value
530372,21481,FAWN BLUE HOT WATER BOTTLE,4,22/11/2010,2.95,17276,United Kingdom,11.80
527928,21210,SET OF 72 RETROSPOT PAPER DOILIES,12,02/11/2010,1.45,13488,United Kingdom,17.40
502056,84452,METAL RABBIT LADDER EASTER,12,19/10/2010,0.85,17138,United Kingdom,10.20
526202,22694,WICKER STAR,15,22/03/2010,2.10,16008,United Kingdom,31.50
497941,20712,JUMBO BAG WOODLAND ANIMALS,100,16/07/2010,1.65,14282,United Kingdom,165.00
515406,20674,GREEN SPOTTY BOWL,1,27/09/2010,1.25,14159,United Kingdom,1.25
511267,22514,CHILDS GARDEN SPADE BLUE,1,10/10/2010,2.10,13623,United Kingdom,2.10
525886,16169,WRAP DAISY CARPET,25,15/02/2010,0.42,12748,United Kingdom,10.50
525967,84821,DANISH ROSE DELUXE COASTER,12,12/07/2010,0.85,14243,United Kingdom,10.20
489678,22079,RIBBON REEL HEARTS DESIGN,4,11/01/2010,1.65,16823,United Kingdom,6.60
499386,85063,CREAM SWEETHEART MAGAZINE RACK,1,15/10/2010,16.95,12854,United Kingdom,16.95
527424,21122,SET/10 PINK POLKADOT PARTY CANDLES,2,07/06/2010,1.25,15068,United Kingdom,2.50
514839,21621,VINTAGE UNION JACK BUNTING,20,07/10/2010,8.50,16126,United Kingdom,170.00
500476,85231,LAVENDER SCENTED SET/9 T-LIGHTS,1,08/10/2010,0.85,15719,United Kingdom,0.85
532349,22469,HEART OF WICKER SMALL,1,02/12/2009,1.65,15016,United Kingdom,1.65
500336,21062,PARTY INVITES SPACEMAN,4,26/02/2010,0.85,17589,United Kingdom,3.40
502869,85099,JUMBO BAG RED WHITE SPOTTY,5,17/10/2010,1.95,13113,United Kingdom,9.75
513965,22504,CABIN BAG VINTAGE RETROSPOT,6,05/10/2010,24.95,12380,Belgium,149.70
537769,21407,BROWN CHECK CAT DOORSTOP,1,06/07/2010,4.25,15021,United Kingdom,4.25
495351,22352,LUNCHBOX WITH CUTLERY RETROSPOT,1,07/12/2010,2.55,17618,United Kingdom,2.55
491172,21481,FAWN BLUE HOT WATER BOTTLE,36,08/03/2010,2.55,16843,United Kingdom,91.80
491395,22113,GREY HEART HOT WATER BOTTLE,1,11/11/2010,3.45,16901,United Kingdom,3.45
507387,82484,WOOD BLACK BOARD ANT WHITE FINISH,1,07/03/2010,6.45,17137,United Kingdom,6.45
531382,22326,ROUND SNACK BOXES SET OF4 WOODLAND,1,28/03/2010,2.95,16549,United Kingdom,2.95
499508,85222,ASSORTED COLOUR SILK COSMETIC PURSE,12,29/06/2010,2.10,18069,United Kingdom,25.20
503976,22560,TRADITIONAL MODELLING CLAY,4,08/12/2010,1.25,17602,United Kingdom,5.00
502326,22276,WASH BAG VINTAGE ROSE PAISLEY,24,24/01/2010,2.55,12758,Portugal,61.20
533004,22732,3D VINTAGE CHRISTMAS STICKERS,2,10/12/2009,1.25,17231,United Kingdom,2.50
491642,84596,SMALL CHOCOLATES PINK BOWL,2,10/12/2009,1.25,14130,United Kingdom,2.50
509444,22196,SMALL HEART MEASURING SPOONS,12,09/05/2010,0.85,18060,United Kingdom,10.20
495372,21497,FANCY FONTS BIRTHDAY WRAP,25,07/11/2010,0.42,14396,United Kingdom,10.50
498636,22382,LUNCH BAG SPACEBOY DESIGN,2,28/02/2010,1.65,14159,United Kingdom,3.30
522968,82580,BATHROOM METAL SIGN,3,08/04/2010,0.55,13137,United Kingdom,1.65
514534,84665,SQUARE CHERRY BLOSSOM CABINET,2,05/11/2010,5.95,17850,United Kingdom,11.90
509751,21397,BLUE SPOTTY EGG CUP,24,24/03/2010,1.25,14744,United Kingdom,30.00
537794,22726,ALARM CLOCK BAKELIKE GREEN,3,15/11/2010,3.75,16713,United Kingdom,11.25
515431,21980,PACK OF 12 RED SPOTTY TISSUES,48,11/12/2009,0.29,14248,United Kingdom,13.92
537041,85054,FRENCH ENAMEL POT W LID,2,24/05/2010,2.95,16033,United Kingdom,5.90
534877,72140,HAPPY ANNIVERSARY CANDLE LETTERS,1,24/01/2010,0.42,15471,United Kingdom,0.42
490353,22302,COFFEE MUG PEARS DESIGN,6,22/02/2010,2.55,15514,United Kingdom,15.30
533540,22301,COFFEE MUG CAT + BIRD DESIGN,6,19/09/2010,2.55,13870,United Kingdom,15.30
492529,82482,WOODEN PICTURE FRAME WHITE FINISH,12,01/12/2009,2.55,17377,United Kingdom,30.60
518273,84975,HEART SHAPED MIRROR,6,05/07/2010,1.69,16197,United Kingdom,10.14
525413,21534,DAIRY MAID LARGE MILK JUG,2,25/05/2010,4.95,14470,United Kingdom,9.90
535947,"22,501.00",PICNIC BASKET WICKER LARGE,-2,08/12/2010,8.50,13113,United Kingdom,-17.00
533547,22809,SET OF 6 T-LIGHTS SANTA,6,12/07/2010,2.95,16409,United Kingdom,17.70
497473,84800,MEDIUM WHITE/PINK ROSE ART FLOWER,6,05/12/2010,1.69,13156,United Kingdom,10.14
490757,85124,GREEN JUICY FRUIT PHOTO FRAME,6,24/11/2010,2.55,14215,United Kingdom,15.30
531971,22841,ROUND CAKE TIN VINTAGE GREEN,4,11/05/2010,7.95,13464,United Kingdom,31.80
