invoice_id,StockCode,product_name,quantity,transaction_date,unit_price,customer_id,country,total_line_value
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,12/01/10,1.65,15311,United Kingdom,3.3
536390,22963,JAM JAR WITH GREEN LID,48,12/01/10,0.72,17511,United Kingdom,34.56
536401,21743,STAR PORTABLE TABLE LIGHT,2,12/01/10,2.95,15862,United Kingdom,5.9
536401,22809,SET OF 6 T-LIGHTS SANTA,1,12/01/10,2.95,15862,United Kingdom,2.95
536406,71053,WHITE METAL LANTERN,8,12/01/10,3.39,17850,United Kingdom,27.12
536408,22766,PHOTO FRAME CORNICE,8,12/01/10,2.95,14307,United Kingdom,23.6
536409,21676,FLOWERS STICKERS,6,12/01/10,0.85,17908,United Kingdom,5.1
536409,21823,PAINTED METAL HEART WITH HOLLY BELL,3,12/01/10,1.45,17908,United Kingdom,4.35
536412,22900,SET 2 TEA TOWELS I LOVE LONDON,2,12/01/10,2.95,17920,United Kingdom,5.9
536420,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/01/10,1.25,16583,United Kingdom,15
536464,90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,2,12/01/10,1.65,17968,United Kingdom,3.3
536464,22744,MAKE YOUR OWN MONSOON CARD KIT,2,12/01/10,2.95,17968,United Kingdom,5.9
536488,21592,RETROSPOT CIGAR BOX MATCHES,1,12/01/10,1.25,17897,United Kingdom,1.25
536520,21867,PINK UNION JACK LUGGAGE TAG,1,12/01/10,1.25,14729,United Kingdom,1.25
536522,21197,MULTICOLOUR CONFETTI IN TUBE,1,12/01/10,1.65,15012,United Kingdom,1.65
536532,84991,60 TEATIME FAIRY CAKE CASES,24,12/01/10,0.55,12433,Norway,13.2
536532,21873,IF YOU CAN'T STAND THE HEAT MUG,24,12/01/10,1.25,12433,Norway,30
536537,22801,ANTIQUE GLASS PEDESTAL BOWL,8,12/01/10,3.75,15922,United Kingdom,30
536557,84920,PINK FLOWER FABRIC PONY,1,12/01/10,3.75,17841,United Kingdom,3.75
536559,51014C,"FEATHER PEN,COAL BLACK",24,12/01/10,0.85,17873,United Kingdom,20.4
536562,37446,MINI CAKE STAND WITH HANGING CAKES,8,12/01/10,1.45,13468,United Kingdom,11.6
536569,21462,"NURSERY A,B,C PAINTED LETTERS",1,12/01/10,6.75,16274,United Kingdom,6.75
536569,22816,CARD MOTORBIKE SANTA,12,12/01/10,0.42,16274,United Kingdom,5.04
536588,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,12,12/01/10,3.75,17069,United Kingdom,45
536590,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,12/01/10,3.25,13065,United Kingdom,13
536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/01/10,2.95,15235,United Kingdom,17.7
536597,22583,PACK OF 6 HANDBAG GIFT BOXES,2,12/01/10,2.55,18011,United Kingdom,5.1
536613,22736,RIBBON REEL MAKING SNOWMEN,10,12/02/10,1.65,17855,United Kingdom,16.5
536623,21756,BATH BUILDING BLOCK WORD,6,12/02/10,5.95,15601,United Kingdom,35.7
536624,22927,GREEN GIANT GARDEN THERMOMETER,2,12/02/10,5.95,13418,United Kingdom,11.9
536628,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/02/10,1.65,17850,United Kingdom,9.9
536631,22633,HAND WARMER UNION JACK,6,12/02/10,1.85,17850,United Kingdom,11.1
536637,85114C,RED ENCHANTED FOREST PLACEMAT,8,12/02/10,1.65,18041,United Kingdom,13.2
536637,22130,PARTY CONE CHRISTMAS DECORATION,12,12/02/10,0.85,18041,United Kingdom,10.2
536639,22866,HAND WARMER SCOTTY DOG DESIGN,12,12/02/10,2.10,15111,United Kingdom,25.2
536643,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,3,12/02/10,3.75,14390,United Kingdom,11.25
536685,37370,RETRO COFFEE MUGS ASSORTED,6,12/02/10,1.06,17850,United Kingdom,6.36
536685,71053,WHITE METAL LANTERN,12,12/02/10,3.39,17850,United Kingdom,40.68
536698,22493,PAINT YOUR OWN CANVAS SET,24,12/02/10,1.65,15363,United Kingdom,39.6
536733,47599A,PINK PARTY BAGS,12,12/02/10,2.10,15738,United Kingdom,25.2
536741,22075,6 RIBBONS ELEGANT CHRISTMAS,12,12/02/10,1.65,13117,United Kingdom,19.8
536742,22558,CLOTHES PEGS RETROSPOT PACK 24,2,12/02/10,1.49,16916,United Kingdom,2.98
536742,20978,36 PENCILS TUBE SKULLS,1,12/02/10,1.25,16916,United Kingdom,1.25
536749,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,12/02/10,3.75,17976,United Kingdom,3.75
536749,90081A,LILY BROOCH AMETHYST COLOUR,1,12/02/10,4.95,17976,United Kingdom,4.95
536749,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,1,12/02/10,2.95,17976,United Kingdom,2.95
536753,22632,HAND WARMER RED POLKA DOT,6,12/02/10,1.85,17850,United Kingdom,11.1
536754,22470,HEART OF WICKER LARGE,4,12/02/10,2.95,14449,United Kingdom,11.8
536754,20726,LUNCH BAG WOODLAND,3,12/02/10,1.65,14449,United Kingdom,4.95
536754,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,12/02/10,2.95,14449,United Kingdom,5.9
